user_id,city,rating,interaction_type,review_length_words,would_revisit,recommended_to_others
U00001,Pittsburgh,1.9,visited_and_rated,54,False,False
U00001,Washington,3.0,visited_and_rated,0,False,False
U00001,Belize City,2.7,visited_and_rated,5,False,False
U00001,Verona,2.6,visited_and_rated,7,False,False
U00001,Baltimore,2.4,visited_and_rated,12,False,False
U00001,Cork,2.8,visited_and_rated,9,False,False
U00001,San Sebastián,3.1,visited_and_rated,22,False,False
U00001,Nuwara Eliya,3.2,visited_and_rated,16,False,False
U00001,Porto,2.4,visited_and_rated,22,False,False
U00001,Lusaka,2.6,visited_and_rated,12,False,False
U00001,Copenhagen,2.8,visited_and_rated,13,False,False
U00001,Nantes,2.8,visited_and_rated,10,False,False
U00001,Ushuaia,2.4,visited_and_rated,15,False,False
U00001,Kuching,,wishlisted,0,,
U00001,Athens,,wishlisted,0,,
U00001,Bologna,,wishlisted,0,,
U00001,Gdansk,,wishlisted,0,,
U00001,Malaga,,wishlisted,0,,
U00001,Aswan,,wishlisted,0,,
U00001,Meknes,,wishlisted,0,,
U00001,Bled,,wishlisted,0,,
U00002,Atlanta,2.6,visited_and_rated,212,False,False
U00002,Phoenix,2.4,visited_and_rated,15,False,False
U00002,Port Louis,2.0,visited_and_rated,0,False,False
U00002,Bratislava,2.3,visited_and_rated,58,False,False
U00002,Raja Ampat,1.9,visited_and_rated,7,False,False
U00002,Naples,3.1,visited_and_rated,43,False,False
U00002,Panama City,3.0,visited_and_rated,0,False,False
U00002,Córdoba,3.5,visited_and_rated,6,False,True
U00002,Hamilton Island,,wishlisted,0,,
U00002,Santa Cruz,,wishlisted,0,,
U00002,Fort Lauderdale,,wishlisted,0,,
U00002,Cuenca,,wishlisted,0,,
U00002,Lviv,,wishlisted,0,,
U00002,Casablanca,,wishlisted,0,,
U00003,Orlando,2.4,visited_and_rated,38,False,False
U00003,Panama City,2.4,visited_and_rated,20,False,False
U00003,St. Louis,2.1,visited_and_rated,8,False,False
U00003,Berlin,2.5,visited_and_rated,0,False,False
U00003,Stockholm,2.6,visited_and_rated,13,False,False
U00003,Vilnius,3.4,visited_and_rated,30,False,False
U00003,Puebla,1.2,visited_and_rated,12,False,False
U00003,Lautoka,2.6,visited_and_rated,0,False,False
U00003,Seattle,2.6,visited_and_rated,7,False,False
U00003,Dakar,2.5,visited_and_rated,0,False,False
U00003,La Paz,3.5,visited_and_rated,29,False,True
U00003,Las Vegas,4.0,visited_and_rated,0,True,True
U00003,Hanoi,1.6,visited_and_rated,0,False,False
U00003,Houston,3.0,visited_and_rated,6,False,False
U00003,Cairo,,wishlisted,0,,
U00003,Nafplio,,wishlisted,0,,
U00003,Kraków,,wishlisted,0,,
U00003,Piran,,wishlisted,0,,
U00003,Granada,,wishlisted,0,,
U00004,Rosario,2.2,visited_and_rated,12,False,False
U00004,Tirana,2.6,visited_and_rated,15,False,False
U00004,Suva,,wishlisted,0,,
U00004,San Sebastián,,wishlisted,0,,
U00004,New York City,,wishlisted,0,,
U00004,Paramaribo,,wishlisted,0,,
U00004,Brussels,,wishlisted,0,,
U00004,Malé,,wishlisted,0,,
U00004,Rostock,,wishlisted,0,,
U00004,Svalbard,,wishlisted,0,,
U00004,Port Douglas,,wishlisted,0,,
U00004,Bocas del Toro,,wishlisted,0,,
U00005,Paramaribo,2.2,visited_and_rated,37,False,False
U00005,Nicosia,,wishlisted,0,,
U00005,Malaga,,wishlisted,0,,
U00005,Lucca,,wishlisted,0,,
U00005,Odessa,,wishlisted,0,,
U00006,Dubrovnik,2.4,visited_and_rated,11,False,False
U00006,Austin,,wishlisted,0,,
U00006,Memphis,,wishlisted,0,,
U00006,Kairouan,,wishlisted,0,,
U00007,Rabat,3.3,visited_and_rated,12,False,False
U00007,Prague,,wishlisted,0,,
U00007,Vilamoura,,wishlisted,0,,
U00007,Tromsø,,wishlisted,0,,
U00008,Menorca,2.3,visited_and_rated,3,False,False
U00008,Lautoka,2.9,visited_and_rated,226,False,False
U00008,Sibiu,2.2,visited_and_rated,14,False,False
U00008,Hamburg,3.1,visited_and_rated,4,False,False
U00008,Leipzig,3.1,visited_and_rated,20,False,False
U00008,Dunedin,1.8,visited_and_rated,20,False,False
U00008,Paris,4.0,visited_and_rated,12,True,True
U00008,Montego Bay,,wishlisted,0,,
U00008,Vilamoura,,wishlisted,0,,
U00008,Great Barrier Reef,,wishlisted,0,,
U00008,Salta,,wishlisted,0,,
U00008,Calgary,,wishlisted,0,,
U00009,Antalya,3.3,visited_and_rated,12,False,False
U00009,Salento,3.1,visited_and_rated,11,False,False
U00009,Quito,3.5,visited_and_rated,17,False,True
U00009,Salta,3.3,visited_and_rated,0,False,False
U00009,Lusaka,2.3,visited_and_rated,21,False,False
U00009,Skopje,3.9,visited_and_rated,10,False,True
U00009,Fès,2.7,visited_and_rated,8,False,False
U00009,Hualien,4.8,visited_and_rated,4,True,True
U00009,Montreal,3.5,visited_and_rated,0,False,True
U00009,Harare,2.1,visited_and_rated,4,False,False
U00009,Kota Kinabalu,3.4,visited_and_rated,22,False,False
U00009,Portland,2.5,visited_and_rated,11,False,False
U00009,Manila,2.2,visited_and_rated,55,False,False
U00009,Kraków,2.8,visited_and_rated,52,False,False
U00009,Da Lat,2.8,visited_and_rated,0,False,False
U00009,Chefchaouen,2.3,visited_and_rated,7,False,False
U00009,New York,3.1,visited_and_rated,5,False,False
U00009,Annecy,1.9,visited_and_rated,12,False,False
U00009,Aswan,3.6,visited_and_rated,14,False,True
U00009,Cairo,2.8,visited_and_rated,0,False,False
U00009,San Pedro de Atacama,3.6,visited_and_rated,8,False,True
U00009,Ayers Rock,,wishlisted,0,,
U00009,Christchurch,,wishlisted,0,,
U00009,Isle of Skye,,wishlisted,0,,
U00009,Aarhus,,wishlisted,0,,
U00009,Vancouver,,wishlisted,0,,
U00009,Bogotá,,wishlisted,0,,
U00009,Helsinki,,wishlisted,0,,
U00009,Charlottetown,,wishlisted,0,,
U00009,Siem Reap,,wishlisted,0,,
U00009,Tartu,,wishlisted,0,,
U00010,Suva,3.0,visited_and_rated,6,False,False
U00010,Yellowstone National Park,2.1,visited_and_rated,0,False,False
U00010,Buenos Aires,4.3,visited_and_rated,0,True,True
U00010,Uluru,2.4,visited_and_rated,10,False,False
U00010,Washington DC,2.8,visited_and_rated,33,False,False
U00010,Zanzibar Town,,wishlisted,0,,
U00010,Eindhoven,,wishlisted,0,,
U00010,Glasgow,,wishlisted,0,,
U00010,La Paz,,wishlisted,0,,
U00010,Moscow,,wishlisted,0,,
